synthetic_file,uniqueness_risk,inference_risk
no_CTGAN_e200.csv,0.029,0.08487875
no_COPULAGAN_e300.csv,0.039,0.08618875
cs_CTGAN_e400.csv,0.032,0.0844675
cs_CTGAN_e200.csv,0.0405,0.08313125
dc_CTGAN_e400.csv,0.049,0.0749375
no_COPULAGAN_e500.csv,0.021,0.08996375
cs_COPULAGAN_e500.csv,0.0365,0.08930624
dc_CTGAN_e100.csv,0.0465,0.0756925
cs_COPULAGAN_e300.csv,0.032,0.08544999
no_COPULAGAN_e100.csv,0.036,0.08288625
dc_COPULAGAN_e100.csv,0.0385,0.074946254
cs_COPULAGAN_e200.csv,0.0365,0.08889
cs_CTGAN_e100.csv,0.028,0.0837325
no_CTGAN_e500.csv,0.0305,0.08844625
dc_COPULAGAN_e300.csv,0.0495,0.08251625
no_CTGAN_e300.csv,0.036,0.0828675
dc_CTGAN_e500.csv,0.053,0.0753375
no_COPULAGAN_e200.csv,0.034,0.08953876
cs_COPULAGAN_e100.csv,0.0355,0.08104875
cs_CTGAN_e300.csv,0.0325,0.08325501
no_COPULAGAN_e400.csv,0.024,0.097396255
cs_COPULAGAN_e400.csv,0.024,0.0994525
dc_CTGAN_e200.csv,0.0355,0.079692505
no_CTGAN_e400.csv,0.03,0.08575625
dc_CTGAN_e300.csv,0.0455,0.07510875
dc_COPULAGAN_e200.csv,0.042,0.0816675
dc_COPULAGAN_e500.csv,0.0495,0.08082
cs_CTGAN_e500.csv,0.0355,0.08702
dc_COPULAGAN_e400.csv,0.034,0.08301875
no_CTGAN_e100.csv,0.0305,0.085295
