synthetic_file,inference_risk_A
imbal_NoneCOPULAGAN_ep500_merged_output.csv,0.32976
imbal_CSCTGAN_ep200_merged_output.csv,0.04448
imbal_CSCOPULAGAN_ep400_merged_output.csv,0.17676
imbal_NoneCTGAN_ep300_merged_output.csv,0.03252
bal_CSCOPULAGAN_ep500_merged_output.csv,0.27696
bal_DCCOPULAGAN_ep200_merged_output.csv,0.06812
bal_NoneCOPULAGAN_ep300_merged_output.csv,0.03056
imbal_CSCTGAN_ep300_merged_output.csv,0.03912
imbal_NoneCOPULAGAN_ep200_merged_output.csv,0.01892
imbal_CSCOPULAGAN_ep200_merged_output.csv,0.02392
bal_NoneCTGAN_ep300_merged_output.csv,0.02076
bal_CSCOPULAGAN_ep100_merged_output.csv,0.01368
imbal_NoneCTGAN_ep500_merged_output.csv,0.25884
imbal_DCCTGAN_ep300_merged_output.csv,0.08544
bal_CSCTGAN_ep300_merged_output.csv,0.0262
imbal_NoneCOPULAGAN_ep300_merged_output.csv,0.03928
bal_DCCTGAN_ep500_merged_output.csv,0.08372
imbal_NoneCTGAN_ep400_merged_output.csv,0.08984
imbal_NoneCOPULAGAN_ep400_merged_output.csv,0.14508
bal_NoneCOPULAGAN_ep500_merged_output.csv,0.24984
imbal_DCCTGAN_ep100_merged_output.csv,0.06244
bal_DCCOPULAGAN_ep400_merged_output.csv,0.0998
bal_CSCOPULAGAN_ep300_merged_output.csv,0.04088
imbal_CSCOPULAGAN_ep500_merged_output.csv,0.37744
bal_DCCTGAN_ep300_merged_output.csv,0.06108
bal_CSCOPULAGAN_ep400_merged_output.csv,0.12088
imbal_CSCTGAN_ep400_merged_output.csv,0.09068
imbal_DCCOPULAGAN_ep500_merged_output.csv,0.08656
imbal_CSCOPULAGAN_ep100_merged_output.csv,0.01856
bal_CSCTGAN_ep200_merged_output.csv,0.02992
imbal_DCCTGAN_ep500_merged_output.csv,0.10936
bal_NoneCOPULAGAN_ep400_merged_output.csv,0.10484
imbal_NoneCTGAN_ep200_merged_output.csv,0.0394
bal_CSCTGAN_ep400_merged_output.csv,0.07224
bal_DCCTGAN_ep400_merged_output.csv,0.0716
bal_DCCOPULAGAN_ep500_merged_output.csv,0.077
imbal_DCCTGAN_ep400_merged_output.csv,0.0834
imbal_CSCOPULAGAN_ep300_merged_output.csv,0.05408
bal_DCCOPULAGAN_ep100_merged_output.csv,0.07384
bal_CSCTGAN_ep100_merged_output.csv,0.01548
bal_NoneCTGAN_ep500_merged_output.csv,0.1788
imbal_DCCOPULAGAN_ep400_merged_output.csv,0.1198
imbal_NoneCTGAN_ep100_merged_output.csv,0.01848
imbal_CSCTGAN_ep500_merged_output.csv,0.27516
bal_CSCOPULAGAN_ep200_merged_output.csv,0.02272
bal_CSCTGAN_ep500_merged_output.csv,0.19232
imbal_DCCOPULAGAN_ep300_merged_output.csv,0.11992
imbal_NoneCOPULAGAN_ep100_merged_output.csv,0.01768
imbal_DCCOPULAGAN_ep100_merged_output.csv,0.11184
bal_NoneCOPULAGAN_ep100_merged_output.csv,0.01216
bal_DCCTGAN_ep100_merged_output.csv,0.05256
imbal_DCCTGAN_ep200_merged_output.csv,0.07956
bal_NoneCOPULAGAN_ep200_merged_output.csv,0.01592
imbal_CSCTGAN_ep100_merged_output.csv,0.02072
bal_DCCTGAN_ep200_merged_output.csv,0.06508
bal_NoneCTGAN_ep100_merged_output.csv,0.01208
imbal_DCCOPULAGAN_ep200_merged_output.csv,0.07988
bal_DCCOPULAGAN_ep300_merged_output.csv,0.08752
bal_NoneCTGAN_ep400_merged_output.csv,0.0664
bal_NoneCTGAN_ep200_merged_output.csv,0.02652
