synthetic_file,score,synthetic_data_median_DCR,random_data_baseline_median_DCR
no_CTGAN_e200.csv,1.0,0.3,0.3
no_COPULAGAN_e300.csv,1.0,0.3,0.3
cs_CTGAN_e400.csv,1.0,0.3,0.3
cs_CTGAN_e200.csv,1.0,0.3,0.3
dc_CTGAN_e400.csv,1.0,0.3,0.3
no_COPULAGAN_e500.csv,1.0,0.3,0.3
cs_COPULAGAN_e500.csv,1.0,0.3,0.3
dc_CTGAN_e100.csv,1.0,0.3,0.3
cs_COPULAGAN_e300.csv,0.7499999999999999,0.3,0.4
no_COPULAGAN_e100.csv,1.0,0.3,0.3
dc_COPULAGAN_e100.csv,0.6666666666666667,0.2,0.3
cs_COPULAGAN_e200.csv,1.0,0.3,0.3
cs_CTGAN_e100.csv,1.0,0.3,0.3
no_CTGAN_e500.csv,1.0,0.3,0.3
dc_COPULAGAN_e300.csv,1.0,0.3,0.3
no_CTGAN_e300.csv,1.0,0.3,0.3
dc_CTGAN_e500.csv,0.6666666666666667,0.2,0.3
no_COPULAGAN_e200.csv,1.0,0.3,0.3
cs_COPULAGAN_e100.csv,1.0,0.3,0.3
cs_CTGAN_e300.csv,1.0,0.3,0.3
no_COPULAGAN_e400.csv,1.0,0.3,0.3
cs_COPULAGAN_e400.csv,0.7499999999999999,0.3,0.4
dc_CTGAN_e200.csv,1.0,0.3,0.3
no_CTGAN_e400.csv,0.7499999999999999,0.3,0.4
dc_CTGAN_e300.csv,0.5,0.2,0.4
dc_COPULAGAN_e200.csv,0.6666666666666667,0.2,0.3
dc_COPULAGAN_e500.csv,0.6666666666666667,0.2,0.3
cs_CTGAN_e500.csv,1.0,0.3,0.3
dc_COPULAGAN_e400.csv,0.6666666666666667,0.2,0.3
no_CTGAN_e100.csv,1.0,0.3,0.3
